k,topic_id,topic_label,domain_code,domain_label,subtheme_code,subtheme_label,alignment_status,overlap,alignment_strength,matched_terms,runner_up_code,runner_up_overlap,runner_up_domain,nmf_keywords,lda_keywords,top_5_nmf,lda_coherence,n_comments,pct_of_corpus
10,0,T00,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,ambiguous,1,0.08,better,,0,,like | one | time | friend | work | day | better | take | see | help | since | right,ateneo | email | yes | result | since | application | last | week | day | accepted,"like, one, time, friend, work",0.5229326294114003,5231,21.6
10,1,T01,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,inductive_candidate,0,0.0,,,0,,appeal | result | letter | hello | recon | waitlisted | rejected | applicant | huhu | finaid | slot | accepted,frat | law | gusto | wish | state | towards | rule | basta | budget | anong,"appeal, result, letter, hello, recon",0.5229326294114003,1874,7.8
10,2,T02,A,Faculty Performance Evaluation,A3,Professional conduct,ambiguous,1,0.08,email,,0,,email | received | send | confirmation | yes | send email | receive | oaa | yet | sent | received email | form,admu | big | dlsu | especially | university | experience | org | orgs | graduate | dorm,"email, received, send, confirmation, yes",0.5229326294114003,1549,6.4
10,3,T03,B,Institutional and Course Evaluation,B1,Course evaluation,ambiguous,1,0.08,subject,,0,,year | first | first year | last | last year | sem | shift | second | freshman | subject | second year | yes,like | school | student | one | time | good | friend | college | better | best,"year, first, first year, last, last year",0.5229326294114003,1729,7.2
10,4,T04,D,Community Norms and Relational Dynamics,D4,Filipino cultural evaluation frames,ambiguous,1,0.08,sir,A2,1,A,prof | class | sir | grade | online | student | term | subject | chill | online class | teaching | week,grade | prof | exam | honor | question | answer | shs | final | test | review,"prof, class, sir, grade, online",0.5229326294114003,1948,8.1
10,5,T05,B,Institutional and Course Evaluation,B2,Institutional policies,aligned,4,0.33,"scholarship, financial, fee, tuition",B3,1,B,scholarship | aid | apply | financial | fee | financial aid | ateneo | tuition | fin | fin aid | application | finaid,country | med | priority | israel | felt | philippine | stop | explain | car | message,"scholarship, aid, apply, financial, fee",0.5229326294114003,1226,5.1
10,6,T06,D,Community Norms and Relational Dynamics,D2,Solidarity and support,ambiguous,1,0.08,sana,,0,,yan | mag | nag | hahaha | tapos | sana | nung | pwede | alam | lahat | walang | parang,class | campus | day | room | unit | task | online | per | hour | usually,"yan, mag, nag, hahaha, tapos",0.5229326294114003,4439,18.4
10,7,T07,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,aligned,4,0.33,"ateneo, dlsu, admu, benilde",A2,1,A,school | student | high | ateneo | grade | high school | dlsu | admu | benilde | college | university | school year,year | course | program | first | scholarship | hello | appeal | subject | take | math,"school, student, high, ateneo, grade",0.5229326294114003,2523,10.4
10,8,T08,B,Institutional and Course Evaluation,B1,Course evaluation,ambiguous,1,0.08,course,,0,,course | program | choice | change | degree | shift | honor | degree program | management | passed | request | accepted,letter | sem | shift | recon | request | regarding | enlistment | shifting | process | document,"course, program, choice, change, degree",0.5229326294114003,2562,10.6
10,9,T09,A,Faculty Performance Evaluation,A2,Grading and assessment,aligned,2,0.17,"grade, exam",D4,1,D,good | luck | good luck | grade | best | sir | see | exam | math | good grade | congrats | best luck,yan | nag | mag | walang | baka | hahaha | pwede | nung | tapos | lahat,"good, luck, good luck, grade, best",0.5229326294114003,1083,4.5
