k,topic_id,topic_label,domain_code,domain_label,subtheme_code,subtheme_label,alignment_status,overlap,alignment_strength,matched_terms,runner_up_code,runner_up_overlap,runner_up_domain,nmf_keywords,lda_keywords,top_5_nmf,lda_coherence,n_comments,pct_of_corpus
15,0,T00,B,Institutional and Course Evaluation,B1,Course evaluation,aligned,2,0.17,"course, subject",,0,,course | choice | math | take | shift | management | honor | honor course | subject | science | psych | passed,email | result | application | last | week | form | passed | oaa | anyone | yet,"course, choice, math, take, shift",0.5200434207989522,667,2.8
15,1,T01,A,Faculty Performance Evaluation,A2,Grading and assessment,ambiguous,1,0.08,deadline,,0,,hello | result | huhu | week | waitlisted | recon | applicant | june | last | anyone | deadline | received,yan | nag | frat | mag | walang | baka | pwede | nung | tapos | lahat,"hello, result, huhu, week, waitlisted",0.5200434207989522,1356,5.6
15,2,T02,A,Faculty Performance Evaluation,A3,Professional conduct,ambiguous,1,0.08,email,B3,1,B,email | send | received | confirmation | send email | oaa | receive | received email | yet | sent | ateneo | call,room | org | orgs | definitely | dorm | worth | join | business | engineering | career,"email, send, received, confirmation, send email",0.5200434207989522,1140,4.7
15,3,T03,B,Institutional and Course Evaluation,B1,Course evaluation,ambiguous,1,0.08,subject,,0,,year | first | first year | last | last year | sem | shift | second | freshman | second year | subject | school year,time | class | one | prof | like | day | work | subject | part | every,"year, first, first year, last, last year",0.5200434207989522,1378,5.7
15,4,T04,D,Community Norms and Relational Dynamics,D4,Filipino cultural evaluation frames,ambiguous,1,0.08,sir,A2,1,A,prof | sir | grade | term | chill | subject | good prof | pick | report | nya | teaching | depends prof,chance | honor | financial | luck | dream | transfer | receive | past | thru | value,"prof, sir, grade, term, chill",0.5200434207989522,973,4.0
15,5,T05,A,Faculty Performance Evaluation,A2,Grading and assessment,ambiguous,1,0.08,grade,,0,,appeal | letter | recon | rejected | appeal letter | waitlisted | chance | slot | finaid | grade | reconsideration | endorsement,student | admin | teacher | enlistment | pre | issue | professor | education | department | found,"appeal, letter, recon, rejected, appeal letter",0.5200434207989522,877,3.6
15,6,T06,D,Community Norms and Relational Dynamics,D2,Solidarity and support,ambiguous,1,0.08,sana,,0,,yan | mag | nag | hahaha | tapos | sana | nung | pwede | lahat | alam | walang | parang,unit | per | hour | task | taking | center | extra | break | aircon | fan,"yan, mag, nag, hahaha, tapos",0.5200434207989522,3814,15.8
15,7,T07,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,aligned,3,0.25,"ateneo, admu, dlsu",A2,1,A,school | high | grade | high school | ateneo | admu | dlsu | form | school year | dream | college | science,year | ateneo | course | program | first | since | hello | take | scholarship | appeal,"school, high, grade, high school, ateneo",0.5200434207989522,1409,5.8
15,8,T08,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,inductive_candidate,0,0.0,,,0,,program | change | degree | degree program | choice | request | change program | change degree | honor | honor program | request change | shift,letter | question | huhu | incoming | freshie | rent | soon | curious | date | pls,"program, change, degree, degree program, choice",0.5200434207989522,1393,5.8
15,9,T09,A,Faculty Performance Evaluation,A2,Grading and assessment,aligned,2,0.17,"grade, exam",D4,1,D,good | luck | good luck | sir | best | see | grade | exam | math | congrats | good grade | best luck,mean | campus | see | one | sorry | health | case | never | like | less,"good, luck, good luck, sir, best",0.5200434207989522,817,3.4
15,10,T10,B,Institutional and Course Evaluation,B1,Course evaluation,ambiguous,1,0.08,subject,,0,,class | online | subject | pre | day | schedule | online class | enlistment | enlisted | week | enlist | pre enlisted,good | like | friend | better | best | experience | life | right | find | especially,"class, online, subject, pre, day",0.5200434207989522,1448,6.0
15,11,T11,B,Institutional and Course Evaluation,B2,Institutional policies,aligned,4,0.33,"scholarship, financial, fee, tuition",B3,1,B,scholarship | aid | apply | financial | fee | financial aid | ateneo | tuition | fin | fin aid | finaid | application,iba | dahil | joke | muna | nang | lalo | minsan | maraming | mahirap | agad,"scholarship, aid, apply, financial, fee",0.5200434207989522,1116,4.6
15,12,T12,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,inductive_candidate,0,0.0,,,0,,yes | send | long | term | free | teacher | mean | campus | message | question | yes possible | check,school | admu | ust | college | big | dlsu | fee | high | tuition | freshman,"yes, send, long, term, free",0.5200434207989522,763,3.2
15,13,T13,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,aligned,2,0.17,"dlsu, benilde",B2,1,B,student | dlsu | benilde | professor | university | campus | many | number | incoming | admin | current | issue,grade | math | exam | took | grad | answer | essay | pas | final | average,"student, dlsu, benilde, professor, university",0.5200434207989522,1499,6.2
15,14,T14,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,ambiguous,1,0.08,better,,0,,like | one | time | friend | work | better | see | help | day | right | take | life,ibang | ngayon | bang | jeep | kong | advance | doon | ride | rule | freshies,"like, one, time, friend, work",0.5200434207989522,5514,22.8
