topic_id,topic_label,alignment_status,nearest_subtheme,overlap,matched_terms,n_comments,keywords,exemplar_1,exemplar_2,exemplar_3
1,T01,ambiguous,A2 Grading and assessment,1,deadline,1356,hello | result | huhu | week | waitlisted | recon | applicant | june | last | anyone | deadline | received,hello! how did they do it po if i may ask,hello! matanong lang po kung yung results po ng transferee applications ay sabay po with the results na lalabas ngayon?,Hello po! Does anyone know when they will release recon results? Thank you!
2,T02,ambiguous,A3 Professional conduct,1,email,1140,email | send | received | confirmation | send email | oaa | receive | received email | yet | sent | ateneo | call,They didn't ask me to email them naman. Thank you!,Hellooo ..To which email did you send it? Can I get the email thank you,Has anyone not received their emails regarding their Ateneo email credentials? The last email I got last week was from OAAA which said that they will send anoth
3,T03,ambiguous,B1 Course evaluation,1,subject,1378,year | first | first year | last | last year | sem | shift | second | freshman | second year | subject | school year,"Hi, 2nd Year MS Micro here. You can PM me 😊","There is, I'm not sure lang for this year.","it was the same last year, i don’t know if they will change it this year."
4,T04,ambiguous,D4 Filipino cultural evaluation frames,1,sir,973,prof | sir | grade | term | chill | subject | good prof | pick | report | nya | teaching | depends prof,what prof is this? kakaenlist ko lang sa joriz 😭✌️,May I ask is this prof m in precal?,i think ik who this prof is lol
5,T05,ambiguous,A2 Grading and assessment,1,grade,877,appeal | letter | recon | rejected | appeal letter | waitlisted | chance | slot | finaid | grade | reconsideration | endorsement,Hi! Is this for the appeal also po?,thank you!! pinasa ko appeal ko may 16 pa lang :)),"The biggest lesson UP teaches most people (especially those with crap grades like me) is to appeal, appeal, appeal. There's even an appeal for late appeals lol"
6,T06,ambiguous,D2 Solidarity and support,1,sana,3814,yan | mag | nag | hahaha | tapos | sana | nung | pwede | lahat | alam | walang | parang,tutukan mo po ng baril tatahimik po yan o di na magpapakita🤣,pangarap pa pala namin iaadjust namin sa mga yan hanep,Woah siryoso? Dapat i-report na yan di pwede yan
8,T08,inductive_candidate,(none),0,,1393,program | change | degree | degree program | choice | request | change program | change degree | honor | honor program | request change | shift,"I'm planning to change my degree program to a 1 specific degree, however I have to fill up 2 more degree programs. If I did not like the other 2 degree programs",can I request for another change of program if I didn't qualify for the program I wanted to change into first?,Shifting from a degree program to an honors program Is there anyway I can shift my program from a regular old degree program to an honors one some time in the f
10,T10,ambiguous,B1 Course evaluation,1,subject,1448,class | online | subject | pre | day | schedule | online class | enlistment | enlisted | week | enlist | pre enlisted,Haha! You’re not our classes were 7am to 8pm.,"The registrar pre-enlists all freshmen's major classes, so it's really unpredictable. When I was a freshman, the only classes that the registrar didn't pre-enli",It would get you out of the class but you may not necessarily get the class you want.
12,T12,inductive_candidate,(none),0,,763,yes | send | long | term | free | teacher | mean | campus | message | question | yes possible | check,Oh yes :)) we all know that din 🙈😛,Yes. Yes they do. Why else would they make them do it.,yes go for it!! may time pa naman
14,T14,ambiguous,B3 Comparative institutional evaluation,1,better,5514,like | one | time | friend | work | better | see | help | day | right | take | life,https://www.ateneo.edu/document/2023/07/29/Undergraduate-Completion-of-INC-NE-First-Semester-SY-2023-2024 Looks like may binabagsak pa rin naman sila,"Same as you, I'd like to ask too.",upping this comment because I would like to also know
